DESCRIPCION	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
																					
TOTAL	                 348,595	                 384,530	                 452,381	                 502,568	                 510,775	                 524,391	                 590,638	                 617,432	                 633,678	                 645,588	                 664,755	                 684,102	                 696,566	                 707,181	                 755,078	                 781,647	                 783,140	                 782,823	                 786,017	                 792,978	                 789,382
CHUQUISACA	                  12,559	                  14,259	                  16,300	                  19,807	                  23,775	                  25,620	                  26,560	                  29,423	                  30,732	                  28,328	                  29,095	                  29,921	                  30,966	                  31,455	                  32,719	                  33,239	                  33,770	                  33,917	                  34,021	                  33,579	                  32,687
LA PAZ	                 142,195	                 126,820	                 148,782	                 165,719	                 158,335	                 156,842	                 196,511	                 202,262	                 210,077	                 208,309	                 214,480	                 218,336	                 219,213	                 220,224	                 222,325	                 222,486	                 221,045	                 220,504	                 212,519	                 212,390	210,648
COCHABAMBA	                  85,099	                 103,214	                 120,038	                 130,534	                 115,029	                 120,804	                 140,456	                 145,449	                 147,593	                 154,070	                 161,127	                 170,257	                 178,585	                 180,012	                 193,440	                 206,075	                 205,897	                 208,079	                 207,940	                 209,567	                 207,176
ORURO	                  55,211	                  77,210	                  93,326	                 111,718	                  25,325	                  26,368	                  29,127	                  33,210	                  36,561	                  39,208	                  42,190	                  42,161	                  44,789	                  44,738	                  44,878	                  47,682	                  44,300	                  44,205	                  47,612	                  47,521	                  48,322
POTOSÍ	                  16,859	                  18,201	                  20,742	                  23,602	                  17,836	                  20,119	                  21,444	                  21,877	                  18,925	                  19,604	                  20,063	                  20,322	                  21,070	                  21,250	                  21,476	                  21,606	                  21,678	                  21,316	                  20,181	                  19,610	                  18,975
TARIJA	                  10,580	                  13,198	                  16,449	                  16,816	                  28,494	                  29,967	                  31,683	                  28,416	                  27,213	                  29,016	                  29,960	                  31,528	                  32,935	                  33,535	                  33,727	                  33,611	                  32,994	                  32,470	                  31,981	                  31,329	                  30,247
SANTA CRUZ	                  18,260	                  22,193	                  24,703	                  21,156	                 127,305	                 128,028	                 129,106	                 140,233	                 146,340	                 150,127	                 151,798	                 155,271	                 152,177	                 158,891	                 188,043	                 197,885	                 206,621	                 205,318	                 214,978	                 222,697	                 225,705
BENI	                   6,190	                   8,585	                  10,341	                  11,793	                  13,210	                  15,051	                  14,114	                  14,756	                  14,355	                  14,969	                  13,889	                  14,048	                  14,573	                  14,838	                  16,232	                  16,709	                  14,578	                  14,798	                  14,666	                  14,322	                  13,927
PANDO	                   1,642	                     850	                   1,700	                   1,423	                   1,466	                   1,592	                   1,637	                   1,806	                   1,882	                   1,957	                   2,153	                   2,258	                   2,258	                   2,238	                   2,238	                   2,354	                   2,257	                   2,216	                   2,119	                   1,963	                   1,695
